symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl_usd,pnl_pct,exit_reason,fg_at_entry,fg_at_exit
BNBUSDT,2024-05-11 20:00:00+00:00,2024-05-13 02:00:00+00:00,593.6,587.9,27.094503253510204,-154.4387,-0.9602,trail_stop,51,52
BTCUSDT,2024-05-13 07:00:00+00:00,2024-05-14 06:00:00+00:00,62334.37,62042.0,0.2567777262690094,-75.0741,-0.469,trail_stop,52,55
ETHUSDT,2024-05-15 14:00:00+00:00,2024-05-16 12:00:00+00:00,2976.08,2980.0,5.3656288624958055,21.0333,0.1317,trail_stop,52,61
BTCUSDT,2024-05-15 09:00:00+00:00,2024-05-16 14:00:00+00:00,62649.98,65598.7,0.2548850094620384,751.5845,4.7067,trail_stop,52,61
BNBUSDT,2024-05-17 15:00:00+00:00,2024-05-18 12:00:00+00:00,582.5,576.9,28.076995090502077,-157.2312,-0.9614,trail_stop,59,62
ETHUSDT,2024-05-17 07:00:00+00:00,2024-05-19 10:00:00+00:00,3024.67,3104.66,5.40715173563313,432.5181,2.6446,trail_stop,59,62
ETHUSDT,2024-05-20 02:00:00+00:00,2024-05-20 06:00:00+00:00,3092.61,3073.65,5.3328719391163775,-101.1113,-0.6131,trail_stop,60,60
BTCUSDT,2024-05-20 04:00:00+00:00,2024-05-20 06:00:00+00:00,67132.43,66410.0,0.24567102796116128,-177.4801,-1.0761,trail_stop,60,60
BNBUSDT,2024-05-20 19:00:00+00:00,2024-05-21 15:00:00+00:00,589.2,612.6,27.754917517452284,649.4651,3.9715,trail_stop,60,70
CAKEUSDT,2024-05-20 20:00:00+00:00,2024-05-21 15:00:00+00:00,2.714,2.846,6018.337862572096,794.4206,4.8637,trail_stop,60,70
BTCUSDT,2024-05-25 05:00:00+00:00,2024-05-26 15:00:00+00:00,68718.21,68847.99,0.24848057356509773,32.2478,0.1889,trail_stop,64,65
ETHUSDT,2024-05-25 06:00:00+00:00,2024-05-27 19:00:00+00:00,3748.21,3873.25,4.55362904004523,569.3858,3.336,trail_stop,64,64
BNBUSDT,2024-05-27 02:00:00+00:00,2024-05-27 19:00:00+00:00,605.9,602.2,28.24652644823076,-104.5121,-0.6107,trail_stop,64,64
BTCUSDT,2024-05-30 17:00:00+00:00,2024-05-30 22:00:00+00:00,69315.1,68314.93,0.24992679738238674,-249.9693,-1.4429,trail_stop,61,61
ETHUSDT,2024-06-01 08:00:00+00:00,2024-06-02 07:00:00+00:00,3799.11,3793.33,4.527038256531373,-26.1663,-0.1521,trail_stop,60,60
BTCUSDT,2024-06-02 14:00:00+00:00,2024-06-03 14:00:00+00:00,68252.5,68776.01,0.2517949257567053,131.8172,0.767,trail_stop,60,60
ETHUSDT,2024-06-03 04:00:00+00:00,2024-06-03 14:00:00+00:00,3817.55,3769.42,4.501744095089659,-216.6689,-1.2608,trail_stop,60,60
CAKEUSDT,2024-06-04 14:00:00+00:00,2024-06-06 06:00:00+00:00,2.778,3.115,6171.060935692096,2079.6475,12.131,trail_stop,62,66
ETHUSDT,2024-06-04 19:00:00+00:00,2024-06-06 19:00:00+00:00,3800.38,3791.01,4.5109192447472735,-42.2673,-0.2466,trail_stop,62,66
BTCUSDT,2024-06-10 17:00:00+00:00,2024-06-10 22:00:00+00:00,70043.0,69495.99,0.25929639493389944,-141.8377,-0.781,ema_cross_down,61,61
BTCUSDT,2024-06-12 15:00:00+00:00,2024-06-12 19:00:00+00:00,69734.0,67532.92,0.2594283782639562,-571.0226,-3.1564,trail_stop,56,56
ETHUSDT,2024-06-19 06:00:00+00:00,2024-06-20 13:00:00+00:00,3561.5,3531.36,4.999429235559205,-150.6828,-0.8463,trail_stop,52,52
ETHUSDT,2024-06-30 19:00:00+00:00,2024-07-01 11:00:00+00:00,3428.41,3459.6,2.5857650957534593,80.65,0.9098,trail_stop,45,49
BNBUSDT,2024-07-02 22:00:00+00:00,2024-07-03 02:00:00+00:00,579.9,574.7,15.321995887681073,-79.6744,-0.8967,ema_cross_down,49,48
BNBUSDT,2024-07-12 12:00:00+00:00,2024-07-13 13:00:00+00:00,525.9,531.0,16.85740030540458,85.9727,0.9698,trail_stop,40,41
ETHUSDT,2024-07-12 15:00:00+00:00,2024-07-16 06:00:00+00:00,3131.34,3398.99,2.839902436691177,760.0999,8.5475,trail_stop,40,57
BTCUSDT,2024-07-19 14:00:00+00:00,2024-07-21 06:00:00+00:00,65747.04,66721.99,0.2761135703690009,269.1969,1.4829,trail_stop,57,62
BNBUSDT,2024-07-19 13:00:00+00:00,2024-07-21 17:00:00+00:00,579.1,593.0,31.348039985483535,435.7378,2.4003,trail_stop,57,62
ETHUSDT,2024-07-23 12:00:00+00:00,2024-07-23 13:00:00+00:00,3506.27,3440.26,5.278006912248132,-348.4012,-1.8826,ema_cross_down,63,63
BTCUSDT,2024-07-26 03:00:00+00:00,2024-07-27 19:00:00+00:00,67042.01,68246.0,0.273439246199055,329.2181,1.7959,trail_stop,59,63
